#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Administración General.                 ,9200,22200,2017-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA DICIEMBRE                                                                                                                                                      ,2083.14
Promoción y fomento del deporte.        ,3410,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,89.24
Servicio Social de Base                 ,2311,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,107.13
Bibliotecas públicas.                   ,3321,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,116.21
Policía Local                           ,1321,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,145.78
Escuelas de música                      ,3261,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,175.74
Otros servicios comunitarios y sociales ,2399,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,176.48
Consultorios y centros de salud         ,3121,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,208.77
Escuelas infantiles                     ,3231,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,309.35
Funcionamiento de centros docentes de en,3232,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,315.77
Administración General.                 ,9200,22200,2017-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO MAYO                                                                                                                                                            ,1661.62
Otros servicios de bienestar comunitario,1690,22103,2017-06-05,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,3 TICKETS COMBUSTIBLE SM MAYO                                                                                                                                                       ,112.48
Parques y jardines                      ,1710,22103,2017-06-05,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,6 TICKETS GASOLINA MAYO JARDINES                                                                                                                                                    ,255.27
Policía Local                           ,1321,22103,2017-06-05,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,11 TICKETS COMBUSTIBLE MAYO PM                                                                                                                                                      ,487.07
Otros servicios de bienestar comunitario,1690,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,106.49
Desarrollo empresarial.                 ,4330,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,191.22
Consultorios y centros de salud         ,3121,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,322.13
Escuelas de música                      ,3261,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,393.29
Bibliotecas públicas.                   ,3321,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,530.06
Otros servicios comunitarios y sociales ,2399,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,538.3
Parques y jardines                      ,1710,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,788.93
Escuelas infantiles                     ,3231,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,874.76
Promoción y fomento del deporte.        ,3410,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,1014.96
Funcionamiento de centros docentes de en,3232,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,1877.38
Administración General.                 ,9200,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,4362.15
Alumbrado público.                      ,1650,22100,2017-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,16439.35
Parques y jardines                      ,1710,22100,2017-06-07,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ ALUMBRADO MAYO                                                                                                                                                            ,32.45
Administración General.                 ,9200,22100,2017-06-07,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ ALUMBRADO MAYO                                                                                                                                                            ,40.22
Parques y jardines                      ,1710,22100,2017-06-07,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ ALUMBRADO MAYO                                                                                                                                                            ,84.8
Alumbrado público.                      ,1650,22100,2017-06-07,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ ALUMBRADO MAYO                                                                                                                                                            ,2911.75
Fiestas populares y festejos.           ,3380,22620,2017-06-09,MERCADONA S.A.                                                                            ,,,60 PAQUETES CARBON VEGETAL FIESTAS SARRIGUREN                                                                                                                                       ,131.4
Escuelas infantiles                     ,3231,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,12.68
Parques y jardines                      ,1710,21000,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,22.4
Promoción y fomento del deporte.        ,3410,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,24.2
Escuelas de música                      ,3261,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,25.62
Consultorios y centros de salud         ,3121,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,42.43
Policía Local                           ,1321,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,55.71
Promoción cultural                      ,3340,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,66.99
Funcionamiento de centros docentes de en,3232,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,67.81
Alumbrado público.                      ,1650,21900,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,82.12
Parques y jardines                      ,1710,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,82.38
Órganos de gobierno.                    ,9120,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,99.75
Otros servicios de bienestar comunitario,1690,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,136.48
Administración General.                 ,9200,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,142.65
Servicio Social de Base                 ,2311,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,157.86
Órganos de gobierno.                    ,9120,22200,2017-06-12,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL JUNIO                                                                                                                                                          ,217.8
Escuelas de música                      ,3261,62900,2017-06-14,ADAGIO SL                                                                                 ,,,COMPRA INSTRUMENTO 1 LIRA                                                                                                                                                           ,835
Parques y jardines                      ,1710,22199,2017-06-14,ALDAZ ECHARRI S.A.                                                                        ,,,5 KG PLETINA METALICA JARDINES                                                                                                                                                      ,10.03
Promoción cultural                      ,3340,22606,2017-06-14,ANALISIS DE LOS CUERPOS EN MOVIMIENTO                                                     ,,,6 HORAS CLASES DANTZAS EUSKERA  MAYO                                                                                                                                                ,210
Bibliotecas públicas.                   ,3321,22750,2017-06-14,AREYAN                                                                                    ,VIQUEIRA                                ,MARIANA                       ,"ACTIVIDADES 24 Y 25 MAYO LUDOTECA/BIBLIOTECA ""CONOCER VENEZUELA""                                                                                                                    ",340
Administración General.                 ,9200,22000,2017-06-14,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,1 TONER IMPRESORA URTASUN                                                                                                                                                           ,31.17
Administración General.                 ,9200,22000,2017-06-14,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,2 CARTUCHOS COLOR IMPRESORA TECNICA DEPORTES                                                                                                                                        ,71.7
Administración General.                 ,9200,22000,2017-06-14,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,16 CARTUCHOS SSB+7 CARTUCHOS AYTO                                                                                                                                                   ,172.42
Servicio Social de Base                 ,2311,22000,2017-06-14,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,16 CARTUCHOS SSB+7 CARTUCHOS AYTO                                                                                                                                                   ,388.18
Bibliotecas públicas.                   ,3321,22750,2017-06-14,ASOCIACIÓN APROE                                                                          ,,,PRESENTACION GRUPO DANZAS AMERICA INDIA 18/05                                                                                                                                       ,200
Promoción cultural                      ,3340,22750,2017-06-14,ASOCIACION DE GAITEROS DEL VALLE DE EGUE                                                  ,,,ACTUACION CONCENTRACION GIGANTES VILLAVA                                                                                                                                            ,210
Euskera                                 ,3350,22799,2017-06-14,ASOCIACION NAFARROAKO TOPAGUNEA EUSKARA                                                   ,,,GRUPO CONVERSACION EUSKERA 1º PARTE 2017                                                                                                                                            ,1250
Participación ciudadana.                ,9240,22706,2017-06-14,BAG- DISTRIBUCIONES PUBLICITARIAS S.L.                                                    ,,,REPARTO 7500 FOLLETOS PRESUPUESTOS PARTICIPATIVOS                                                                                                                                   ,166.8
Promoción de la igualdad efectiva entre ,2391,22706,2017-06-14,BORDES                                                                                    ,MAYO                                    ,MANUEL                        ,12 CAJAS SERVILLETAS FIESTAS SIN AGRESIONES SEXISTAS                                                                                                                                ,765.93
Euskera                                 ,3350,22699,2017-06-14,CABINET                                                                                   ,,,CAMPAÑA ESCOLARIZACION MODELO D (VIDEO+MATERIAL GRAFICO)                                                                                                                            ,259.5
Funcionamiento de centros docentes de en,3232,63200,2017-06-14,CAMPION MEZQUIRIZ OSCAR JESUS Y VISUS FANDOS JUAN JOSE                                    ,,,PROYECTO Y DIRECCION INGENIERIA VESTUARIOS CP                                                                                                                                       ,3630
Promoción de la igualdad efectiva entre ,2391,22706,2017-06-14,CHYSALLIS EUSKAL HERRIA                                                                   ,,,CHARLA TRANSEXUALIDAD INFANTIL 24/05                                                                                                                                                ,200
Promoción cultural                      ,3340,22606,2017-06-14,CLEN COLLEGE                                                                              ,,,94 HORAS CLASES INGLES MAYO                                                                                                                                                         ,3525
Fiestas populares y festejos.           ,3380,22620,2017-06-14,COMERCIAL PIROTECNIA FIESTA                                                               ,,,COHETON+COHETE+TORO DE FUEGO DIA CONCEJOS                                                                                                                                           ,284.83
Transporte público.                     ,4411,22730,2017-06-14,"COMPAÑIA NAVARRA DE AUTOBUSES, S.A.                                                       ",CONDA                                   ,,CONCESION  TRANSPORTE PUBLICO LINEA OCHAGAVIA PAMPLONA MES MAYO                                                                                                                     ,4277.58
Escuelas infantiles                     ,3231,22100,2017-06-14,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,REFACTURACION LUZ 0-3 AÑOS 16/04-16/05                                                                                                                                              ,98.99
Escuelas infantiles                     ,3231,22100,2017-06-14,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,REFACTURACION LUZ 0-3 AÑOS 14/02-14/03                                                                                                                                              ,101.74
Escuelas infantiles                     ,3231,22100,2017-06-14,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,REFACTURACION LUZ 0-3 AÑOS 14/03-16/04                                                                                                                                              ,118.97
Escuelas infantiles                     ,3231,20200,2017-06-14,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ALQUILER LOCAL CENTRO 0-3 EGUES II MAYO                                                                                                                                             ,1601.13
Escuelas infantiles                     ,3231,20200,2017-06-14,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ALQUILER LOCAL CENTRO 0-3 EGUES II ABRIL                                                                                                                                            ,1601.13
Limpieza viaria.                        ,1630,22709,2017-06-14,"CONTENEDORES IRUÑA, S.L.                                                                  ",,,SERVICIO CONTENEDORES MAYO                                                                                                                                                          ,327.8
Promoción y fomento del deporte.        ,3410,22740,2017-06-14,COPYPRINT S.L.                                                                            ,,,600 COPIAS A4 BN 2 CARAS INSCRIPCIONES CURSOS DEPORTE                                                                                                                               ,54
Otros servicios de bienestar comunitario,1690,21300,2017-06-14,"CRISTALERIA BRICOVIDRIO, S.L                                                              ",,,ESPEJO PARA RETROVISOR CAMIONETA FORD SM                                                                                                                                            ,20.57
Parques y jardines                      ,1710,21400,2017-06-14,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,ARREGLO PINCHAZO RENAULT KANGOO JARDINES                                                                                                                                            ,10.89
Euskera                                 ,3350,22799,2017-06-14,ELKARKIDE                                                                                 ,,,REPARTO 8000 FOLLETOS PROGRAMACIO VERANO                                                                                                                                            ,76.25
Promoción y fomento del deporte.        ,3410,22740,2017-06-14,ELKARKIDE                                                                                 ,,,REPARTO 8000 FOLLETOS PROGRAMACIO VERANO                                                                                                                                            ,76.25
Promoción cultural                      ,3340,22750,2017-06-14,ELKARKIDE                                                                                 ,,,REPARTO 8000 FOLLETOS PROGRAMACIO VERANO                                                                                                                                            ,76.26
Servicio Social de Base                 ,2311,22799,2017-06-14,ELKARKIDE                                                                                 ,,,REPARTO 8000 FOLLETOS PROGRAMACIO VERANO                                                                                                                                            ,76.26
Promoción y fomento del deporte.        ,3410,21200,2017-06-14,EXTINIRUÑA S.L.                                                                           ,,,RETIMBRADO EXTINCIONES COCINA BAR PISCINAS                                                                                                                                          ,512.76
Servicio Social de Base                 ,2311,22799,2017-06-14,EXTINIRUÑA S.L.                                                                           ,,,RETIMBRADO EXTINCIONES COCINA BAR PISCINAS                                                                                                                                          ,620.44
Administración General.                 ,9200,21200,2017-06-14,FERRETERIA BERRIAINZ                                                                      ,,,1  CANDADO PM+1 TOPOMETRO ABAURREA+CARBON DIA CONCEJOS+RECOGEDOR                                                                                                                    ,11.1
Otros servicios de bienestar comunitario,1690,21900,2017-06-14,FERRETERIA BERRIAINZ                                                                      ,,,1  CANDADO PM+1 TOPOMETRO ABAURREA+CARBON DIA CONCEJOS+RECOGEDOR                                                                                                                    ,11.8
Otros servicios de bienestar comunitario,1690,21200,2017-06-14,FERRETERIA BERRIAINZ                                                                      ,,,1  CANDADO PM+1 TOPOMETRO ABAURREA+CARBON DIA CONCEJOS+RECOGEDOR                                                                                                                    ,17.82
Fiestas populares y festejos.           ,3380,22620,2017-06-14,FERRETERIA BERRIAINZ                                                                      ,,,1  CANDADO PM+1 TOPOMETRO ABAURREA+CARBON DIA CONCEJOS+RECOGEDOR                                                                                                                    ,22.14
Policía Local                           ,1321,22199,2017-06-14,FERRETERIA BERRIAINZ                                                                      ,,,1  CANDADO PM+1 TOPOMETRO ABAURREA+CARBON DIA CONCEJOS+RECOGEDOR                                                                                                                    ,61.71
Otros servicios de bienestar comunitario,1690,62300,2017-06-14,FERRETERIA BERRIAINZ                                                                      ,,,1  CANDADO PM+1 TOPOMETRO ABAURREA+CARBON DIA CONCEJOS+RECOGEDOR                                                                                                                    ,181.5
Promoción de la igualdad efectiva entre ,2391,22706,2017-06-14,FUNDACION MEJORANDO CADA DIA                                                              ,,,1500 CHAPAS+1500 MANOS CAMPAÑA FIESTAS AGRESIONES                                                                                                                                   ,1710
Otros servicios de bienestar comunitario,1690,21900,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,13.27
Escuelas de música                      ,3261,21200,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,43.63
Otros servicios de bienestar comunitario,1690,21200,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,47.67
Funcionamiento de centros docentes de en,3232,21200,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,49.11
Servicio Social de Base                 ,2311,22105,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,50.51
Otros servicios de bienestar comunitario,1690,21300,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,72.77
Promoción de la igualdad efectiva entre ,2391,22706,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,89.09
Empleo social protegido                 ,2412,22199,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,94.48
Parques y jardines                      ,1710,62300,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,1 TALADRO+20 CONO Y 12 BASTIDOR SEÑAL.OBRAS+DUPLICADO MANDO                                                                                                                         ,105.45
Administración General.                 ,9200,21200,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,116.27
Promoción y fomento del deporte.        ,3410,22740,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,400 KG BREA AGLOMERADO VUELTA CICL+GUANTES TALLER HUERT MUJ+FILTROS BARREDORA+600 BOLSAS BANC ALIMENTO                                                                              ,246.28
Parques y jardines                      ,1710,22199,2017-06-14,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,1 TALADRO+20 CONO Y 12 BASTIDOR SEÑAL.OBRAS+DUPLICADO MANDO                                                                                                                         ,1035.16
Fiestas populares y festejos.           ,3380,22620,2017-06-14,GAZTE TXARANGA                                                                            ,,,ACTUACION 3 DIAS FIESTAS SARRIGUREN 2016                                                                                                                                            ,1050
Promoción y fomento del deporte.        ,3410,22740,2017-06-14,GESPORT S.L.                                                                              ,,,YOGA+GIMNAS+GIMNAS DEPENDIENTES ENE-MAYO FUERA INSTALACIONES DEPORTIVAS                                                                                                             ,3978
Servicio Social de Base                 ,2311,22799,2017-06-14,GIL                                                                                       ,ESPINOSA                                ,Mª PILAR                      ,SERVICIOS PODOLOGIA MAYO                                                                                                                                                            ,224.9
Fiestas populares y festejos.           ,3380,22620,2017-06-14,GOLOSINAS SAGASTI S.L.                                                                    ,,,CHUCHERIAS Y CARAMELOS VARIADOS FIESTAS SARRIGUREN                                                                                                                                  ,321.73
Ordenación del tráfico y del estacionami,1330,22701,2017-06-14,"GRUAS ABAYA, S.L.                                                                         ",,,RETIRADA 2 VEHICULOS MAYO                                                                                                                                                           ,175.11
Administración General.                 ,9200,22601,2017-06-14,IBERICA DE ESTRATIFICADOS SL                                                              ,,,4 POSTES+2 MASTIL MESA+4 BANDERAS VALLE+1 ESPAÑA+1 NAVARRA                                                                                                                          ,931.69
"Urbanismo: planeamiento, gestión, ejecuc",1510,22760,2017-06-14,"INGENIERIA Y URBANISMO, S.L.                                                              ",,,REDACCION  TECNICA PASO PEATONAL NA2300 CTRA.ARETA                                                                                                                                  ,1210
Otros servicios de atencion social      ,2318,22104,2017-06-14,INTERSPORT IRABIA S.L.                                                                    ,,,1 UNIFORME TRABAJADORA FAMILIAR                                                                                                                                                     ,533.2
Promoción cultural                      ,3340,22750,2017-06-14,IRIARTE                                                                                   ,ALONSO                                  ,JORGE                         ,3 MUPIS FIESTAS SARRIGUREN                                                                                                                                                          ,108.9
Promoción de la igualdad efectiva entre ,2391,22706,2017-06-14,IRIARTE                                                                                   ,ALONSO                                  ,JORGE                         ,3 MUPIS MANO ROJA+5 IDA Y VUELTA (VALLE)+5 VOY Y  VENGO (FUERA VALLE)                                                                                                               ,163.35
Fiestas populares y festejos.           ,3370,22620,2017-06-14,IRIARTE                                                                                   ,ALONSO                                  ,JORGE                         ,3 MUPIS MANO ROJA+5 IDA Y VUELTA (VALLE)+5 VOY Y  VENGO (FUERA VALLE)                                                                                                               ,544.5
Otros servicios de bienestar comunitario,1690,22110,2017-06-14,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,"3,5 LT GEL MANOS+30 PAQ BOLSAS NEGRAS                                                                                                                                               ",147.34
Parques y jardines                      ,1710,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,2 PANTALONES JARDINES                                                                                                                                                               ,29.28
Empleo social protegido                 ,2412,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,2 FORROS POLARES ESP                                                                                                                                                                ,29.28
Parques y jardines                      ,1710,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,4 POLOS JARDINES                                                                                                                                                                    ,61.23
Parques y jardines                      ,1710,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,4 POLOS JARDINES                                                                                                                                                                    ,61.23
Empleo social protegido                 ,2412,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,1 BOTA CARLOS NAUSIA ESP                                                                                                                                                            ,68.06
Empleo social protegido                 ,2412,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,2 BOTAS ESP                                                                                                                                                                         ,136.13
Empleo social protegido                 ,2412,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,2 PANTALON+1 TRAJE AGUA+1 BOTA+1 POLAR                                                                                                                                              ,142.08
Empleo social protegido                 ,2412,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,1 BOTA+2 P ANTALON+4 POLO+1 FORRO+2 CALCETINES                                                                                                                                      ,189.98
Empleo social protegido                 ,2412,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,11 PANTALON+8 POLO+3 POLAR+4 TRAJE AGUA+3 BOTA+9 CALCETIN                                                                                                                           ,701.07
Parques y jardines                      ,1710,22104,2017-06-14,"JUPER IRU, S.L.                                                                           ",,,16 PANTALON+20 POLO+6 CHALECO+7 BOTA+27 CALCETINES                                                                                                                                  ,1475.72
Servicio Social de Base                 ,2311,22105,2017-06-14,LA MANDUCA DE GORRAIZ                                                                     ,,,ALIMENTOS TALLER COCINA CESTA BASICA                                                                                                                                                ,19.83
Servicio Social de Base                 ,2311,22105,2017-06-14,LA MANDUCA DE GORRAIZ                                                                     ,,,194 HUEVOS CESTA BASICA                                                                                                                                                             ,244.13
Escuelas de música                      ,3261,21200,2017-06-14,LARUMBE                                                                                   ,PASCUAL                                 ,ENEKO                         ,MANTENIMIENTO VIDEOVIGILANCIA 15/02-15/5                                                                                                                                            ,37
Otros servicios de bienestar comunitario,1690,21900,2017-06-14,LARUMBE                                                                                   ,PASCUAL                                 ,ENEKO                         ,MANTENIMIENTO VIDEOVIGILANCIA 15/02-15/5                                                                                                                                            ,81.15
Administración General.                 ,9200,21200,2017-06-14,LARUMBE                                                                                   ,PASCUAL                                 ,ENEKO                         ,MANTENIMIENTO VIDEOVIGILANCIA 15/02-15/5                                                                                                                                            ,214.6
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2017-06-14,LARUMBE                                                                                   ,PASCUAL                                 ,ENEKO                         ,2 ANTENAS+2 ALIMENTADORES+3 CAMARAS (GORRAIZ-ROTONDA ESCUELAS-TUNEL PEATONAL)                                                                                                       ,1352.05
