#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22750,2016-01-04,GOLOSINAS SAGASTI S.L.                                                                    ,,,40 KG CARAMELOS+GLOBOS (VARIOS CABALGATA REYES)                                                                                                                                     ,187.57
Policía Local                           ,1321,21400,2016-07-26,COMERCIAL DE ASIENTOS                                                                     ,PATXI ETXEBERRIA OLABE                  ,,REFORZAR LOMO RESPALDO DACIA PM                                                                                                                                                     ,66.55
Fiestas populares y festejos.           ,3380,22620,2016-07-26,COMUNIKAZE SOCIEDAD MICROCOOPERATIVA                                                      ,,,PROMOCIÓN FIESTAS SARRIGUREN EN WEBS (SARRIGUREN WEB Y PAMPLONA ACTUAL)                                                                                                             ,266.2
Empleo social protegido                 ,2412,22104,2016-07-26,"CONFEIRUÑA, S.L.                                                                          ",,,2 PARKAS+SERIGRAFIA VESTUARIO ESP                                                                                                                                                   ,111.78
Escuelas infantiles                     ,3231,20200,2016-07-26,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ARRENDAMIENTO GUARDERIA JUNIO                                                                                                                                                       ,-1601.13
Escuelas infantiles                     ,3231,22100,2016-07-26,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ELECTRICIDAD CENTRO 0-3 GORRAIZ 15/05 A 13/06                                                                                                                                       ,101.22
Escuelas infantiles                     ,3231,20200,2016-07-26,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ARRENDAMIENTO CENTRO 0-3 AÑO 2016 GORRAIZ MES JUNIO                                                                                                                                 ,1601.13
Escuelas infantiles                     ,3231,20200,2016-07-26,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ARRENDAMIENTO GUARDERIA JUNIO                                                                                                                                                       ,1601.13
Limpieza viaria.                        ,1630,22709,2016-07-26,"CONTENEDORES IRUÑA, S.L.                                                                  ",,,TRANSPORTE CAMBIO CONTENEDOR JUNIO                                                                                                                                                  ,163.9
Promoción y fomento del deporte.        ,3410,22740,2016-07-26,COPYPRINT S.L.                                                                            ,,,1000 COPIAS ESCUELAS DEPORTES VERANO                                                                                                                                                ,90
Promoción cultural                      ,3340,22606,2016-07-26,COSIN                                                                                     ,RETA                                    ,ORREAGA                       ,6 HORAS DANZAS ADULTOS MAYO (30 € HORA)                                                                                                                                             ,180
Protección de la salubridad pública.    ,3110,22113,2016-07-26,CREMATORIO DE ANIMALES DUIN SL                                                            ,,,RECOGIDA E INCINERACION GATO 27/06/2016                                                                                                                                             ,50.01
Parques y jardines                      ,1710,21000,2016-07-26,DENDA BRICOLAJE S.L.                                                                      ,,,2 ENLACE MIXTO+3 CODO ROSCA+2 ENLACE RECTOS RIEGO                                                                                                                                   ,24.67
Administración General.                 ,9200,22602,2016-07-26,DIARIO DE NOTICIAS                                                                        ,,,3 ANUNCIOS URBANISMO (ZONAS VERDES+URBANISMO EN UNIDAD+C.6 GORRAIZ)                                                                                                                 ,931.7
Administración General.                 ,9200,22000,2016-07-26,"DINAFAX, S.L.                                                                             ",,,9683 COPIAS BN IMPRESORA PLANTA 1 (FIN 328.211) 01/06-20/06                                                                                                                         ,105.45
Euskera                                 ,3350,22799,2016-07-26,DINDAIA FUNDAZIOA                                                                         ,,,CAMPAMENTOS URBANOS  EUSKERA JUNIO                                                                                                                                                  ,1866.14
Funcionamiento de centros docentes de en,3232,22700,2016-07-26,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,155 HORAS LIMPIEZA NUEVO COLEGIO JUNIO                                                                                                                                              ,2987.67
Fiestas populares y festejos.           ,3380,22620,2016-07-26,DUGUNA FOLKLORE TALDEA                                                                    ,,,ACTUACION DANZAS FIESTAS SARRIGUREN                                                                                                                                                 ,1200
Policía Local                           ,1321,16200,2016-07-26,DUQUE                                                                                     ,MOLINA                                  ,RAMON                         ,4 DIAS ESTANCIA VALENCIA+DIETAS PRACTICAS TIRO RAMON DUQUE                                                                                                                          ,217.6
Policía Local                           ,1321,21400,2016-07-26,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,6 CUBIERTAS PM+ARREGLO PINCHAZO PM+ALARGADERA SM                                                                                                                                    ,458.93
Otros servicios de bienestar comunitario,1690,21300,2016-07-26,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,6 CUBIERTAS PM+ARREGLO PINCHAZO PM+ALARGADERA SM                                                                                                                                    ,487.63
Administración General.                 ,9200,21200,2016-07-26,"EKOEDER, S.L.                                                                             ",,,COLOCAR 4 CERRADURAS ARMARIO DE ARCHIVADORES SSB                                                                                                                                    ,214.02
Policía Local                           ,1321,22104,2016-07-26,EL CORTE INGLES                                                                           ,,,1 PANTALON CAMPAÑA  VERANO PM                                                                                                                                                       ,72.6
Desarrollo empresarial.                 ,4330,21000,2016-07-26,ENTIDAD DE CONSERVACIÓN PLAN PARCIAL EGU                                                  ,,,GASTOS CONSERVACION POLIGONOS EGUES 2º TRIM 2016                                                                                                                                    ,898.61
Parques y jardines                      ,1710,21900,2016-07-26,FERNANDEZ                                                                                 ,BEAUMONT                                ,FELIPE (ALFEFLOR)             ,250 CAÑA  BAMBU 240 CM. TUTORES HUERTAS                                                                                                                                             ,149.74
Administración General.                 ,9200,21200,2016-07-26,"FRITZ IMAGEN Y SONIDO, S.L                                                                ",,,CABLE TVC-031/ 1.5M                                                                                                                                                                 ,8.87
Parques y jardines                      ,1710,22706,2016-07-26,FUNDACION ILUNDAIN HARITZ-BERRI                                                           ,,,TALLER EDUCACION AMBIENTAL CP SARRIGUREN                                                                                                                                            ,484
Parques y jardines                      ,1710,22799,2016-07-26,FUNDACION ILUNDAIN HARITZ-BERRI                                                           ,,,TALLER NIDOS+ANILLAMIENTO+ACTUALIZAR WEB PROYECTO ATERPEAK                                                                                                                          ,2420
Promoción y fomento del deporte.        ,3410,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,211.93
Consultorios y centros de salud         ,3121,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,320.92
Bibliotecas públicas.                   ,3321,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,483.55
Parques y jardines                      ,1710,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,533.55
Escuelas de música                      ,3261,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,676.72
Escuelas infantiles                     ,3231,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,873.13
Administración General.                 ,9200,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,1579.46
Funcionamiento de centros docentes de en,3232,22102,2016-07-26,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JUNIO                                                                                                                                                                     ,2578.36
"Urbanismo: planeamiento, gestión, ejecuc",1510,22760,2016-07-26,"GESTION AMBIENTAL DE NAVARRA, S.A.U.                                                      ",,,1 INFORMES URBANISTICOS DE DEVOLUCION REFORMA CALEF. CLINICA UBARMIN                                                                                                                ,90.75
Otros servicios comunitarios y sociales ,2399,22000,2016-07-26,"GONZALEZ.I, IRIARTE.R, OLABE.I                                                            ",,TANTATIC DISEÑOSDESARROLL     ,DISEÑO Y COLOCACION PANELES SERVICIO JOVEN CAF                                                                                                                                      ,538.45
Ordenación del tráfico y del estacionami,1330,22701,2016-07-26,"GRUAS ABAYA, S.L.                                                                         ",,,RETIRADA 2 VEHICULOS MAYO                                                                                                                                                           ,194.42
Empleo social protegido                 ,2419,22706,2016-07-26,GUTIERREZ                                                                                 ,GOÑI                                    ,ALBERTO                       ,ESTUDIO NECESIDADES FORMATIVAS DESEMPLEADOS                                                                                                                                         ,-1754.5
Empleo social protegido                 ,2419,22706,2016-07-26,GUTIERREZ                                                                                 ,GOÑI                                    ,ALBERTO                       ,ESTUDIO DIAGNOSTICO COMERCIO MINORISTA                                                                                                                                              ,-1724.25
Empleo social protegido                 ,2419,22706,2016-07-26,GUTIERREZ                                                                                 ,GOÑI                                    ,ALBERTO                       ,ESTUDIO DIAGNOSTICO COMERCIO MINORISTA                                                                                                                                              ,1724.25
Empleo social protegido                 ,2419,62900,2016-07-26,GUTIERREZ                                                                                 ,GOÑI                                    ,ALBERTO                       ,ESTUDIO 50% ELABORACION DIAGNOSTICO COMERCIO MINORISTA                                                                                                                              ,1724.25
Empleo social protegido                 ,2419,62900,2016-07-26,GUTIERREZ                                                                                 ,GOÑI                                    ,ALBERTO                       ,ESTUDIO 50% NECESIDADES FORMATIVAS DESEMPLEADOS                                                                                                                                     ,1754.5
Empleo social protegido                 ,2419,22706,2016-07-26,GUTIERREZ                                                                                 ,GOÑI                                    ,ALBERTO                       ,ESTUDIO NECESIDADES FORMATIVAS DESEMPLEADOS                                                                                                                                         ,1754.5
Fiestas populares y festejos.           ,3370,22750,2016-07-26,HEGOAK ELKARTEA                                                                           ,,,"CURSO 2 PERSONASX2,5 HORAS PREVENCION DROGAS CARPA FIESTAS SARRIGUREN                                                                                                               ",332
Escuelas de música                      ,3261,22750,2016-07-26,HERMANOS MARISTAS DE LA ENSEÑANZA                                                         ,,,ALQUILER SALON ACTOS JUNIO ESCUELA MUSICA                                                                                                                                           ,210.64
Administración General.                 ,9200,21200,2016-07-26,HISPANOFIL                                                                                ,,,700 BRIDAS TALLER+CARPA FIESTAS EGUES/OLAZ                                                                                                                                          ,84.32
Parques y jardines                      ,1710,21900,2016-07-26,IRAOLA-ARTETA S.L.                                                                        ,,,LIMPIEZA FOSA SEPTICA HUERTAS SARRIGUREN                                                                                                                                            ,172
Administración General.                 ,9200,22110,2016-07-26,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,TOALLAS DESECHABLES+GEL+PAPEL HIGIENICO AYTO                                                                                                                                        ,145.5
Administración General.                 ,9200,21200,2016-07-26,IROTZ LIMPIEZAS TECNICAS                                                                  ,,,LIMPIEZA LOCALES TRAS JORNADA ELECTORAL                                                                                                                                             ,550.55
Otros servicios de bienestar comunitario,1690,21900,2016-07-26,JOYFER                                                                                    ,,,"2 PLACAS ""PRECAUCION"" ""CARGA Y DESCARGA"" ALZUZA                                                                                                                                     ",150.46
Parques y jardines                      ,1710,22104,2016-07-26,"JUPER IRU, S.L.                                                                           ",,,4 FORROS POLARES+2 POLOS JARDINERIA                                                                                                                                                 ,94.6
Parques y jardines                      ,1710,22104,2016-07-26,"JUPER IRU, S.L.                                                                           ",,,1 BOTA GORETEX+3 CALCETINES JARDINES                                                                                                                                                ,107.84
Servicio Social de Base                 ,2311,22105,2016-07-26,LA MANDUCA DE GORRAIZ                                                                     ,,,240 DOCENAS HUEVOS CESTA BASICA                                                                                                                                                     ,302.02
Administración General.                 ,9200,22001,2016-07-26,LIBRERIA GOMEZ S.A.                                                                       ,,,LIBROS PRODEDIMIENTO ADMINISTRATIVO+REFORMA LOC                                                                                                                                     ,54
Fiestas populares y festejos.           ,3370,22750,2016-07-26,LIMUTAXI S.L.                                                                             ,,,SERVICIO VOY VENGO FIESTAS OLAZ                                                                                                                                                     ,220
Fiestas populares y festejos.           ,3370,22750,2016-07-26,LIMUTAXI S.L.                                                                             ,,,SERVICIO VOY Y VENGO EGUES 55 PERSONAS                                                                                                                                              ,242
Promoción de la igualdad efectiva entre ,2391,22706,2016-07-26,MADERAS VDA. DE ALDUNATE                                                                  ,,,BANCOS CURSO HUERTAS IGUALDAD                                                                                                                                                       ,144.03
Otros servicios de bienestar comunitario,1690,21900,2016-07-26,MADERPLAY S.L.                                                                            ,,,LARGUERO MP-010 PARQUE OLAZ                                                                                                                                                         ,196.44
Promoción de la igualdad efectiva entre ,2391,22706,2016-07-26,MURGIBE S.L                                                                               ,,,CURSO LENGUAJE IGUALITARIO 15 HORAS                                                                                                                                                 ,1500
Funcionamiento de centros docentes de en,3232,21200,2016-07-26,ORONA S. COOP                                                                             ,,,3º TRIMESTRE MANTENIMIENTO ASCENSOR CP                                                                                                                                              ,399.3
Administración General.                 ,9200,21200,2016-07-26,ORONA S. COOP                                                                             ,,,MANT ASCENSORES AYTO +SSB+ PUERTA AUTOMATICA 3º TRIMESTRE                                                                                                                           ,980.1
Policía Local                           ,1321,16200,2016-07-26,PITARCH                                                                                   ,GARCIA                                  ,GABRIEL                       ,CURSO DE TIRO 45 HORAS RAMON DUQUE                                                                                                                                                  ,500
Parques y jardines                      ,1710,21400,2016-07-26,"REGENAUTO, S.A.                                                                           ",,,LAMPARAS H7 VEHICULO JARDINES                                                                                                                                                       ,4.67
Policía Local                           ,1321,21400,2016-07-26,"REGENAUTO, S.A.                                                                           ",,,ANTICONGELANTE SM+ESCOBILLAS JARDIN+LAMPARAS PM                                                                                                                                     ,6.62
Parques y jardines                      ,1710,21400,2016-07-26,"REGENAUTO, S.A.                                                                           ",,,ANTICONGELANTE SM+ESCOBILLAS JARDIN+LAMPARAS PM                                                                                                                                     ,27.95
Otros servicios de bienestar comunitario,1690,21300,2016-07-26,"REGENAUTO, S.A.                                                                           ",,,ANTICONGELANTE SM+ESCOBILLAS JARDIN+LAMPARAS PM                                                                                                                                     ,32.04
Administración General.                 ,9200,22000,2016-07-26,REPRONET                                                                                  ,,,80 A3 COLOR+24 PLANOS PROYECTO SALESIANOS                                                                                                                                           ,186.72
Policía Local                           ,1321,22000,2016-07-26,RICOH ESPAÑA SLU                                                                          ,,,"COPIAS JEFATURA PM JUNIO. BN 414, FIN 353366. COLOR 570, FIN 90383                                                                                                                  ",99.05
Policía Local                           ,1321,22000,2016-07-26,RICOH ESPAÑA SLU                                                                          ,,,COPIAS JUNIO IMPRESORA AGENTES PM. BN 1286 (FIN 81568) COLOR 1621 (FIN 53510)                                                                                                       ,160.25
Servicio Social de Base                 ,2311,22000,2016-07-26,SANCHEZ                                                                                   ,INCHAUSTI                               ,FERNANDO                      ,BASCULA OAC+CARPETAS COLGANTES+EXTRAEGRAPAS+ARCHIVADORES                                                                                                                            ,74.4
Administración General.                 ,9200,22000,2016-07-26,SANCHEZ                                                                                   ,INCHAUSTI                               ,FERNANDO                      ,BASCULA OAC+CARPETAS COLGANTES+EXTRAEGRAPAS+ARCHIVADORES                                                                                                                            ,152.72
Otros servicios de bienestar comunitario,1690,21300,2016-07-26,SARRIBIKES SL                                                                             ,,,KIT CAJA DE PARCHES BARREDORA SM                                                                                                                                                    ,6.99
Otros servicios comunitarios y sociales ,2399,22699,2016-07-26,"SERLIMPIA, S.L.                                                                           ",,,ALQUILER BAÑO SANITARIO DIA DEL MAYOR                                                                                                                                               ,258.94
Fiestas populares y festejos.           ,3380,22620,2016-07-26,"SERLIMPIA, S.L.                                                                           ",,,ALQUILER BAÑO PORTATIL DIA DEL VALLE                                                                                                                                                ,258.94
Parques y jardines                      ,1710,22706,2016-07-26,SOCIEDAD DE CIENCIAS NATURALES GOROSTI                                                    ,NATUR ZIENTZI ELKARTES                  ,,TRABAJOS CONVENIO COLABORACION SEGUIMIENTO AVES                                                                                                                                     ,1210
Administración General.                 ,9200,22201,2016-07-26,SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA                                               ,,,"SERVICIO CORREOS JUNIO, INCLUYE VIALINE. 828,68 € ELECCIONES                                                                                                                        ",5367.5
Promoción cultural                      ,3340,22750,2016-07-26,SOCIEDAD GENERAL DE AUTORES Y EDITORES                                                    ,,,GASTOS AUTORES FIESTAS SARRIGUREN (ARKADA+DIANAS+KRESALA+MIXUS+TXARANGA)                                                                                                            ,841.91
Empleo social protegido                 ,2412,22199,2016-07-26,SYS AGROSAL                                                                               ,,,ESP: MAT HUERTASPIMIENTO+CALABAZA+SEMILLA BATLLE+ALVEOLO                                                                                                                            ,10.49
Empleo social protegido                 ,2412,22199,2016-07-26,SYS AGROSAL                                                                               ,,,INSECTICIDA/ACARICIDA ESP                                                                                                                                                           ,20.15
Parques y jardines                      ,1710,21400,2016-07-26,TALLERES CR                                                                               ,,,ROTULA SUSPENSION NISSAN JARDINES                                                                                                                                                   ,224
Policía Local                           ,1321,22199,2016-07-26,TCS SUMINISTROS                                                                           ,,,CADENA CUSTODIA+RECOLECTOR DE SALIVA PM                                                                                                                                             ,196.56
Transporte público.                     ,4411,22730,2016-07-26,TELETAXI SAN FERMIN                                                                       ,,,TELE TAXI BADOSTAIN JUNIO                                                                                                                                                           ,284
Gestión del sistema tributario.         ,9320,22799,2016-07-26,TRABAJOS CATASTRALES S.A.                                                                 ,,,"APOYO GESTION TRIBUTARIA TASA 1,5 JUNIO                                                                                                                                             ",135.86
Servicio Social de Base                 ,2311,22105,2016-07-26,"TRANSPORTES LIZARRALDEA, S.L.                                                             ",,,TRANSPORTE DE BANCO DE ALIMENTOS-CRUZ ROJA                                                                                                                                          ,387.81
Parques y jardines                      ,1710,21400,2016-07-26,UNZUE E HIJOS S.L.                                                                        ,,,"JUEGO CUCHILLAS, ROLLO NYLON Y REPARAR EJE DESBROZADORA                                                                                                                             ",392.92
Empleo social protegido                 ,2412,62300,2016-07-26,UNZUE E HIJOS S.L.                                                                        ,,,2 DESBROZADORAS+1 SOPLADORA ESP                                                                                                                                                     ,2149.6
Parques y jardines                      ,1710,22799,2016-07-26,URBASER SA                                                                                ,,,MANTENIMIENTO ZONAS VERDES VALLE JUNIO                                                                                                                                              ,10229.49
Parques y jardines                      ,1710,21000,2016-07-26,VALENZUELA HNOS.                                                                          ,,,PROGRAMADOR RAIN+PILA ALCALINA JARDINES                                                                                                                                             ,197.33
Gestión del sistema tributario.         ,9320,22708,2016-07-26,VIALINE GESTION SL                                                                        ,,,EJECUTIVA SANCIONES MAYO                                                                                                                                                            ,3000.73
Gestión del sistema tributario.         ,9320,22708,2016-07-26,VIALINE GESTION SL                                                                        ,,,GESTION EJECUTIVA MAYO                                                                                                                                                              ,3078.53
Gestión del sistema tributario.         ,9320,22708,2016-07-26,VIALINE GESTION SL                                                                        ,,,GESTION COBROS EJECUTIVA JUNIO                                                                                                                                                      ,4785.49
Gestión del sistema tributario.         ,9320,22708,2016-07-26,VIALINE GESTION SL                                                                        ,,,GESTION IMPUESTOS EJECUTIVA JUNIO                                                                                                                                                   ,4926.67
Gestión del sistema tributario.         ,9320,22708,2016-07-26,VIALINE GESTION SL                                                                        ,,,GESTION SANCIONES MAYO EN VOLUNTARIO                                                                                                                                                ,7850.66
Gestión del sistema tributario.         ,9320,22708,2016-07-26,VIALINE GESTION SL                                                                        ,,,GESTION SANCIONES JUNIO                                                                                                                                                             ,8400.36
Parques y jardines                      ,1710,21900,2016-07-26,VIGUETAS NAVARRAS S.L.                                                                    ,,,80 LOSAS+2 PALET DE MADERA HUERTAS                                                                                                                                                  ,455.49
Parques y jardines                      ,1710,22199,2016-07-26,VIVEROS VALDORBA                                                                          ,ECHAPARE GONZALEZ CESAR Y LEZAUN        ,INDURAIN MARIA PILAR          ,ALEGRIAS+PETUNIAS+DALIAS+RUDEBEKIAS+GIRASOLES+BACOPAS                                                                                                                               ,1155.69
Parques y jardines                      ,1710,22199,2016-07-26,VIVEROS VALDORBA                                                                          ,ECHAPARE GONZALEZ CESAR Y LEZAUN        ,INDURAIN MARIA PILAR          ,VERBENAS+SALVIAS+IPOMEAS+PORTULACAS+HIBISCUS                                                                                                                                        ,1534.83
Parques y jardines                      ,1710,22199,2016-07-26,VIVEROS VALDORBA                                                                          ,ECHAPARE GONZALEZ CESAR Y LEZAUN        ,INDURAIN MARIA PILAR          ,FELICIAS+SALVIAS+ALISUN+LOBELIAS+BEGOÑAS+PETUNIAS                                                                                                                                   ,2159.06
Administración General.                 ,9200,22001,2016-07-26,WOLTERS KLUWER ESPAÑA S.A. ( LA LEY)                                                      ,,,PRACTICA URBANISTICA 6/16 A 5/17                                                                                                                                                  ,327.03
Fiestas populares y festejos.           ,3380,22620,2016-07-26,XIA                                                                                       ,,ZHIJIAN                       ,115 PELOTAS PLASTICO+100 GLOBOS FIESTAS                                                                                                                                             ,300
Administración General.                 ,9200,22602,2016-07-26,ZABAL COMUNICACION                                                                        ,PASCUAL PEJENAUTE JAVIER Y FERNANDEZ    ,IMIZCOZ JESUS                 ,"2ª CONTRAPORTADA REVISTA ""AL REVES""                                                                                                                                                 ",617.1
Servicio Social de Base                 ,2311,22105,2016-07-26,"ZUAZU 2001, S.L.                                                                          ",(CARNICERIAS ZUAZU)                     ,,272 KG POLLO CESTA BASICA                                                                                                                                                           ,617.98
Promoción cultural                      ,3340,22606,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,37.04
Promoción y fomento del deporte.        ,3410,22740,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,91.71
Desarrollo empresarial.                 ,4330,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,333.37
Parques y jardines                      ,1710,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,463.01
Otros servicios de bienestar comunitario,1690,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,463.01
Otros servicios comunitarios y sociales ,2399,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,851.03
Escuelas de música                      ,3261,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,1203.44
Consultorios y centros de salud         ,3121,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,1852.01
Administración General.                 ,9200,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,5556.05
Funcionamiento de centros docentes de en,3232,22700,2016-07-27,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA EDIFICIOS MUNICIPALES JUNIO                                                                                                                                                ,10965.9
Escuelas infantiles                     ,3231,22799,2016-07-27,EDUCACONTINUUM SLL-AGINTZARI S.COOP                                                       ,DE INICIATIVA SOCIAL UTE                ,,SERVICIO GUARDERIA JUNIO 2016                                                                                                                                                       ,58304.48
Servicio Social de Base                 ,2311,22799,2016-07-27,PAUMA SL                                                                                  ,,,SERVICIO ENVEJECIMIENTO ACTIVO JUNIO                                                                                                                                                ,242
Otros servicios comunitarios y sociales ,2399,22799,2016-07-27,PAUMA SL                                                                                  ,,,SERVICIO ATENCION FAMILIAS JUNIO CAF                                                                                                                                                ,35067.91
Parques y jardines                      ,1710,21400,2016-07-27,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV ALZAGA PV PORTAVEHICULOS+MITSUBISHI L200 JARDINES(APROB 26/09)                                                                                                                  ,74.11
Policía Local                           ,1321,62300,2016-07-27,TRADIA TELECOM S.A.                                                                       ,,,2 TERMINALES CON ACCESORIOS PM                                                                                                                                                      ,2042.71
Administración General.                 ,9200,21200,2016-08-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,RETIRADA RESIDUOS LOCAL SIN USO PAINTBAL                                                                                                                                            ,27.28
Parques y jardines                      ,1710,22101,2016-08-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA JUNIO                                                                                                                                                                    ,76.92
Administración General.                 ,9200,22101,2016-08-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA JUNIO                                                                                                                                                                    ,120.68
Otros servicios comunitarios y sociales ,2399,22101,2016-08-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA JUNIO                                                                                                                                                                    ,136.81
Escuelas infantiles                     ,3231,22101,2016-08-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA JUNIO                                                                                                                                                                    ,445.07
Funcionamiento de centros docentes de en,3232,22101,2016-08-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA JUNIO                                                                                                                                                                    ,1094.49
Parques y jardines                      ,1710,22101,2016-08-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA JUNIO                                                                                                                                                                    ,3138.07
Administración General.                 ,9200,22200,2016-08-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO AGOSTO                                                                                                                                                          ,2115.58
Otros servicios de bienestar comunitario,1690,21300,2016-08-03,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV FORD TRANSIT SM                                                                                                                                                                 ,37.05
