a,b,c,d,e,f,g,h,i,j,k,l,m,n,AYUNTAMIENTO DEL VALLE DE EGÜES 
1,,43300,47900,APOYO A C.INNOVACION AÑOS 2014-15-16,,,0,48100,72260.72,72260.72,72260.72,,0,-24160.72
1,,43300,48900,SUBVENCION FOMENTO COMERCIO,,,2000,2000,0,0,0,,0,2000
1,,43301,47900,APOYO OTROS GASTOS C.INNOVACION,,,0,40200,0,0,0,,0,40200
1,,44110,46300,TRANSFERENCIA TRANSPORTE COMARCAL A MANC,,,268000,268000,228507.78,228507.78,228507.78,,228507.78,39492.22
1,,91201,48900,SUBVENCIONA A GRUPOS POLITICOS MUNICIPAL,,,41000,41000,40872,40872,40872,,40872,128
1,,92000,44900,LIMPIEZA EDIFICIO CASA CONSISTORIAL,,,65000,11500,10088.18,10088.18,10088.18,,4493.95,1411.82
1,,92000,45000,GASTOS INFOLOCAL,,,22700,22700,22655,22655,22655,,22655,45
1,,92000,48200,TRANSFERENCIAS A F.N.M.C,,,7500,7500,6950.45,6950.45,6950.45,,6950.45,549.55
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,4,TRANSFERENCIAS CORRIENTES.,,,,1110200,1586200,1349256.46,1341275.27,1283777.51,,975604.31,236943.54
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,62300,EQUIPAMIENTO POLICIA,,,3000,3000,4243.23,4243.23,4243.23,,4243.23,-1243.23
1,,13210,62400,COMPRA COCHE HIBRIDO Y SUST.PUENTES LUCE,,,0,42800,39326.76,39326.76,39326.76,,39326.76,3473.24
1,,13210,62600,FOTOCOPIADORAS POLICIA MUNICIPAL,,,0,0,1996,1996,1996,,0,-1996
1,,15100,60000,CONV. .SERV.COMARCA AMPLICAC. ABASTECIM,,,0,0,12917.02,12917.02,12917.02,,12917.02,-12917.02
1,,15100,60900,ADECUACION DE CAMINOS,,,32000,32000,21281.47,21281.47,21281.47,,6335.89,10718.53
1,,15100,62200,COMPRA DE SILO PARA SAL PLAN INVERNAL,,,0,30000,28798,28798,28798,,0,1202
1,,15100,64000,PLAN URBANISTICO MUNICIPAL,,,20000,20000,12826,12826,12826,,12826,7174
1,,15101,60900,OBRAS MENORES CONCEJOS Y OTRAS ACTUACION,,,101000,269000,78348.63,72188.65,61321.53,,43220.37,190651.37
1,,15102,60900,MOBILIARIO URBANO Y SEÑALIZACIONES,,,30000,30000,27088.64,27088.64,26329.55,,19077.9,2911.36
1,,15103,60900,PARQUES INFANTILES,,,30000,30000,33471.49,29586.8,29586.8,,3471.49,-3471.49
1,,15320,60900,FORMACION CUNETA HORMIGON EN ELIA,,,0,0,14880.58,14880.58,14880.58,,14880.58,-14880.58
1,,15320,60901,AMPLIACION PISTA SAGASETA,,,0,0,26375.21,26375.21,26375.21,,26375.21,-26375.21
1,,15330,60900,RECONSTRUCCION ESCALERA Y TALUD ARDANAZ,,,0,0,56021,56021,56021,,56021,-56021
1,,16500,62900,NUEVAS FAROLAS FRONTON EGUES,,,0,0,3371.62,3371.62,3371.62,,3371.62,-3371.62
1,,16500,63900,INVERSION ALUMBRADO PUBLICO LEEDS EFICIE,,,1737000,1748000,1743799.06,1725509.91,7751.56,,0,4200.94
1,,16900,62300,COMPRA MAQUINA MIXTA Y OTRAS UTILES,,,20000,20000,20726.66,20726.66,20726.66,,20726.66,-726.66
1,,17100,60000,ACTUACIONES ESPACIOS NATURALES VALLE DE,,,15000,15000,22001.1,22001.1,22001.1,,21196.45,-7001.1
1,,17100,60900,"ACTUACIONES PROYECTOS MEDIO AMBIENTE, FO",,,20000,20000,13532.68,13532.68,13532.68,,13532.68,6467.32
1,,17100,62300,MAQUINARIA JARDINES,,,8300,8300,4919.34,4919.34,4919.34,,4919.34,3380.66
1,,17100,63100,OBRAS MENORES JARDINERIA Y MEDIOAMBIENTA,,,6000,2000,0,0,0,,0,2000
1,,17100,63200,MEJORAS HUERTAS ECOLOGICAS,,,0,0,3396.93,3396.93,3396.93,,3396.93,-3396.93
1,,23110,62500,EQUIPAMIENTO ALMACEN ALIMENTARIO,,,3000,3000,1909.48,1909.48,1909.48,,1282.7,1090.52
1,,23110,62600,EQUIPOS INFORMATICOS Y OTROS SSB,,,2000,2000,1197.23,1197.23,1197.23,,1197.23,802.77
1,,23990,62500,MOBILIARIO Y EQUIPAMIENTO EDIFICIO CAF,,,2000,2000,1755.04,1755.04,1755.04,,1408.62,244.96
1,,23990,63200,MEJORAS VARIAS EDIFICIO CAF,,,20000,50000,40710.45,40710.45,0,,0,9289.55
1,,24120,62300,UTILLAJE PARA TRABAJOS EMPLEO SOCIAL PRO,,,3000,3000,2210.04,2210.04,2210.04,,2149.6,789.96
1,,24190,62900,"PLAN ESTRATEGICO, DESARROLLO LOCAL E INV",,,60000,70000,34829.47,34829.47,31441.47,,19318.26,32820.28
1,,31210,63200,REFORMAS CONSULTORIO MEDICO,,,25000,32000,27714.49,16278.78,16278.78,,16278.78,4285.51
1,,32310,62900,EQUIPAMIENTOS CENTROS 0-3,,,14000,14000,21922.76,21922.76,21832.01,,17115.43,-7922.76
1,,32320,63200,INVERSION COLEGIO PUBLICO Y EFICIENCIA E,,,22000,107000,98367.41,98367.41,21888.03,,20956.33,8632.59
1,,32320,63210,CUBRIMIENTO ENTRE COLEGIO NUEVO/GIMNASIO,,,0,65300,65921.61,0,0,,0,-621.61
1,,32610,62500,MOQUETA ALFOMBRA,,,4000,6000,5996.76,5996.76,5996.76,,5996.76,3.24
1,,32610,62900,COMPRA INSTRUMENTOS Y EQUIPOS TEC. ESC.,,,1000,1000,1000,1000,1000,,1000,0
1,,33400,60900,EXHUMACION FUSILADOS ETXALAZ Y MONOLITOS,,,0,13000,12370.8,12370.8,1769.02,,0,629.2
1,,33400,64000,PLAN ESTRATEGICO CULTURA,,,20000,20000,19965,0,0,,0,35
1,,33500,64000,DIAGNOSTICO  CENSO DE EUSKALDUNES,,,20000,25000,25000,21998.79,0,,0,0
1,,33800,68900,COMPRA DE GIGANTES,,,15000,21000,20508.38,20508.38,20508.38,,20508.38,491.62
1,,34100,62200,NUEVO POLIDEPORTIVO,,,0,174240,121968,121968,0,,0,52272
1,,34100,63300,SUSTITUCION CUBIERTA PISCINAS OLAZ,,,0,180000,18150,14520,0,,0,161850
1,,92000,62300,EQUIPO SONIDO DIFERENTES USOS,,,0,4000,4024.88,4024.88,4024.88,,4024.88,-24.88
1,,92000,62400,COMPRA VEHICULOS ELECTRICOS,,,0,3000,3499.32,3499.32,3499.32,,0,-499.32
1,,92000,62500,MOBILIARIO AYUNTAMIENTO,,,4800,4800,769.56,769.56,769.56,,769.56,4030.44
1,,92000,62600,MODERNIZACION ADMINISTRACION,,,28000,73000,49125.85,49125.85,43862.35,,35217.39,23874.15
1,,92000,62700,RED NELS AUDITORIA ENERGETICA,,,5800,5800,0,0,0,,0,5800
1,,92000,62900,EQUIPO GRABACION PLENO,,,20000,20000,45846.9,45846.9,0,,0,-25846.9
1,,92000,63200,REFORMAS CASA CONSISTORIAL,,,35000,39000,38812.6,33496.87,30616.87,,30616.87,187.4
1,,92000,63700,DIGITALIZACIÓN ARCHIVO,,,20000,20000,0,0,0,,0,20000
1,,92000,64000,PONENCIA DE VALORACION,,,0,0,9438.48,9438.48,9438.48,,9438.48,-9438.48
1,,92000,64010,REALIZACION INVENTARIO BIENES MUNICIPALE,,,0,0,7260,7260,7260,,7260,-7260
1,,92400,62900,PARTIDA PRESPUESTOS PARTICIPATIVOS,,,60000,97000,69021.09,69021.09,69021.09,,64825.63,27978.91
1,,92400,64100,INVERSION  AREA TRANSPARENCIA Y PARTICIP,,,20000,20000,11718.86,11718.86,11718.86,,3439.43,8281.14
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,6,INVERSIONES REALES.,,,,2426900,3345240,2930335.88,2792732.8,719600.69,,568643.46,412553.87
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,41210,76800,CIERRE FORESTAL IBIRICU,,,0,4100,4100,4100,4100,,0,0
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,7,TRANSFERENCIAS DE CAPITAL.,,,,0,4100,4100,4100,4100,,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Orgánico ,,1,AYUNTAMIENTO,,,,12541250,13611890,12754903.43,12597263.16,10410439.5,,9633966.4,853225.68
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,13611890,12754903.43,12597263.16,10410439.5,,9633966.4,853225.68
T O T A L   P R E S U P U E S T O :,,,,,,,12541250,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fecha de impresión ,,2018-11-06,10:25:37,,,,,,,,,,,Página -1 de 1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
