#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,5.82
Administración General.                 ,9200,62600,2018-05-29,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,1 ORDENADOR Y MONITOR JARDINES+1 ORDENADOR SALA COMISIONES+3 LICENCIAS MICROSOFT (PM Y SERVICIOS GENERALES)                                                                         ,2570.88
Promoción de la igualdad efectiva entre ,2391,22706,2018-05-29,ASOCIACION AGROECOLOGICA ARREA                                                            ,,,3º PARTE CURSO EMPODERAMIENTO MUJERES A TRAVES DE LA HUERTA 9HORASX50 EUROS                                                                                                         ,450
Fiestas populares y festejos.           ,3380,22620,2018-05-29,ASOCIACION DE GAITEROS DEL VALLE DE EGUE                                                  ,,,ACTUACION  GAITEROS DIA DE LOS CONCEJOS                                                                                                                                             ,150
Trabajos silvícolas                     ,1722,22699,2018-05-29,AXA SEGUROS GENERALES                                                                     ,,,SEGURO VOLUNTARIADO  14 PERS EL 10/11 MARZO (REPITE DOC AD 18/9307)                                                                                                                 ,101.26
Promoción cultural                      ,3340,22750,2018-05-29,BELEN ALVAREZ DISTRIBUCION Y GESTION DE                                                   ,,,ESPECTACULO PROGRAMA ITINERANTE INFANTIL 20/05 GORRAIZ                                                                                                                              ,1210
Bibliotecas públicas.                   ,3321,22750,2018-05-29,BEZANILLA                                                                                 ,ALBISUA                                 ,ELENA                         ,TEATRO 03/04 SALA OHIANBURU DIA DEL LIBRO                                                                                                                                           ,880
Promoción de la igualdad efectiva entre ,2391,22699,2018-05-29,BI AN BI                                                                                  ,,,50 BOLIS+50 IDENTIFICADORES JORNADA MUJER INMIGRACION                                                                                                                               ,49.61
Bibliotecas públicas.                   ,3321,22750,2018-05-29,BLANCO                                                                                    ,OLLERO                                  ,ISABEL                        ,COORDINACION CLUB LECTURA CASTELLANO ABRIL-MAYO                                                                                                                                     ,317.65
Parques y jardines                      ,1710,22110,2018-05-29,CARDENAS                                                                                  ,CARDENAS                                ,MANUEL MARIA                  ,LIMPIEZA 47 PRENDAS JARDINES                                                                                                                                                        ,53.12
Fiestas populares y festejos.           ,3380,22620,2018-05-29,CATERING ZUBILLAGA S.L.                                                                   ,,,COMIDA DIA DE LOS CONCEJOS 120 ADULTOS+42 INFANTIL                                                                                                                                  ,2395.8
Parques y jardines                      ,1710,21000,2018-05-29,COMANASA                                                                                  ,MADERAS PORTU                           ,,TABLEROS ARREGLO 6 TEJADILLOS PUNTOS INFORMACION                                                                                                                                    ,422.42
Fiestas populares y festejos.           ,3380,22620,2018-05-29,COMERCIAL PIROTECNIA FIESTA                                                               ,,,COHETON+COHETE+TORO DE FUEGO DIA DE LOS CONCEJOS                                                                                                                                    ,287.1
Parques y jardines                      ,1710,63200,2018-05-29,CONSTRUCCIONES Y EXCAVACIONES ERRI BERRI                                                  ,,,1ª CERTIFICACION OBRA AMPLIACION EDIFICIO POLIVALENTE E INVERNADERO EN HUERTOS                                                                                                      ,4077.97
Protección de la salubridad pública.    ,3110,22113,2018-05-29,CREMATORIO DE ANIMALES DUIN SL                                                            ,,,RECOGIDA E INCINERACION GATO CON SUPLEMENTO POR FIN DE SEMANA                                                                                                                       ,120
Administración General.                 ,9200,22602,2018-05-29,DIARIO DE NOTICIAS                                                                        ,,,ANUNCIO APROB. PLAN ESP HOTEL GORRAIZ Y PLAN ESP. PORCHE EDIF CONCEJIL EGUES                                                                                                        ,745.36
Administración General.                 ,9200,22001,2018-05-29,EDITORIAL ARANZADI S.A.                                                                   ,,,PACK TRATADO DCHO.ADMTVO.T.III 3ª                                                                                                                                                   ,130
Promoción cultural                      ,3340,22750,2018-05-29,EIDABE SL                                                                                 ,,,ESPECTACULO EN SARRIGUREN PROGRAMA ITINERANTE INFANTIL 13/05                                                                                                                        ,1870
Parques y jardines                      ,1710,21000,2018-05-29,ELECTRICIDAD KESMA S.L.                                                                   ,,,REPARACION BOMBA DE RIEGO SARRIGUREN                                                                                                                                                ,2037.94
Bibliotecas públicas.                   ,3321,22199,2018-05-29,"ELKAR COMEDIAS, S.L.                                                                      ",,,1 DVD BIBLIOTECA                                                                                                                                                                    ,7.61
Bibliotecas públicas.                   ,3321,62900,2018-05-29,"ELKAR COMEDIAS, S.L.                                                                      ",,,34 LIBROS BIBLIOTECA SARRIGUREN                                                                                                                                                     ,537.43
Servicio Social de Base                 ,2311,22799,2018-05-29,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETOS PROGRAMACION DE PRIMAVERA                                                                                                                                          ,63.36
Euskera                                 ,3350,22799,2018-05-29,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETOS PROGRAMACION DE PRIMAVERA                                                                                                                                          ,63.36
Promoción cultural                      ,3340,22750,2018-05-29,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETOS PROGRAMACION DE PRIMAVERA                                                                                                                                          ,63.36
Promoción y fomento del deporte.        ,3410,22740,2018-05-29,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETOS PROGRAMACION DE PRIMAVERA                                                                                                                                          ,63.36
Participación ciudadana.                ,9240,22706,2018-05-29,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETOS PROGRAMACION DE PRIMAVERA                                                                                                                                          ,63.37
Promoción cultural                      ,3340,22606,2018-05-29,ERASO                                                                                     ,FERNANDEZ                               ,ELENA                         ,CURSO ESTIMULACION ARTISTICA 1-3 AÑOS MAYO                                                                                                                                          ,544.5
Administración General.                 ,9200,22000,2018-05-29,EUREKA PAPEL SL                                                                           ,,,240 PAQUETES PAPEL A4+10 PAQUETES PAPEL A3 AYTO                                                                                                                                     ,779.97
Parques y jardines                      ,1710,21000,2018-05-29,FLAT                                                                                      ,,,2 ROLL UP PANELES CENTRO INTERPRETACION ELIA                                                                                                                                        ,254.1
Conservación y mantenimiento de la via p,1533,21000,2018-05-29,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,4 BOBINA INDUSTRIAL+1 AZADA+48 VARILLAS FAROLAS+ROLLO TRAPO+CORTAFRIOS+ARANDELAS+3X25 KG ASFALTO FRIO+CARRETILLA                                                                    ,42.23
Otros servicios de bienestar comunitario,1690,21200,2018-05-29,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,4 BOBINA INDUSTRIAL+1 AZADA+48 VARILLAS FAROLAS+ROLLO TRAPO+CORTAFRIOS+ARANDELAS+3X25 KG ASFALTO FRIO+CARRETILLA                                                                    ,42.48
Policía Local                           ,1321,22199,2018-05-29,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,4 BOBINA INDUSTRIAL+1 AZADA+48 VARILLAS FAROLAS+ROLLO TRAPO+CORTAFRIOS+ARANDELAS+3X25 KG ASFALTO FRIO+CARRETILLA                                                                    ,70.08
Empleo social protegido                 ,2412,22199,2018-05-29,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,4 BOBINA INDUSTRIAL+1 AZADA+48 VARILLAS FAROLAS+ROLLO TRAPO+CORTAFRIOS+ARANDELAS+3X25 KG ASFALTO FRIO+CARRETILLA                                                                    ,126.11
Alumbrado público.                      ,1650,21900,2018-05-29,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,4 BOBINA INDUSTRIAL+1 AZADA+48 VARILLAS FAROLAS+ROLLO TRAPO+CORTAFRIOS+ARANDELAS+3X25 KG ASFALTO FRIO+CARRETILLA                                                                    ,266.6
Promoción y fomento del deporte.        ,3410,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,250.15
Bibliotecas públicas.                   ,3321,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,854.28
Consultorios y centros de salud         ,3121,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,939.57
Parques y jardines                      ,1710,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,1019.15
Escuelas de música                      ,3261,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,1858.6
Escuelas infantiles                     ,3231,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,2844.26
Administración General.                 ,9200,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,3957.01
Funcionamiento de centros docentes de en,3232,22102,2018-05-29,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS ABRIL                                                                                                                                                                     ,6587.54
Servicio Social de Base                 ,2311,22799,2018-05-29,GIL                                                                                       ,ESPINOSA                                ,Mª PILAR                      ,SERVICIO PODOLOGIA MAYO                                                                                                                                                             ,224.9
Promoción y fomento del deporte.        ,3410,22740,2018-05-29,GRAFICAS ALAIZ SL                                                                         ,,,8800 FOLLETOS PROGRAMACION DE VERANO                                                                                                                                                ,562.9
Promoción cultural                      ,3340,22750,2018-05-29,GRAFICAS ALAIZ SL                                                                         ,,,8800 FOLLETOS PROGRAMACION DE VERANO                                                                                                                                                ,562.9
Euskera                                 ,3350,22799,2018-05-29,GRAFICAS ALAIZ SL                                                                         ,,,8800 FOLLETOS PROGRAMACION DE VERANO                                                                                                                                                ,562.9
Servicio Social de Base                 ,2311,22799,2018-05-29,GRAFICAS ALAIZ SL                                                                         ,,,8800 FOLLETOS PROGRAMACION DE VERANO                                                                                                                                                ,562.91
Participación ciudadana.                ,9240,22706,2018-05-29,GRAFICAS ALAIZ SL                                                                         ,,,8800 FOLLETOS PROGRAMACION DE VERANO                                                                                                                                                ,562.91
Órganos de gobierno.                    ,9120,23100,2018-05-29,HERMANOS BONA MAÑERU S.L.                                                                 ,,,CENA ALCALDE Y ANGEL ZUBELDIA 17/05  REVISION ALUMBRADO PUBLICO                                                                                                                     ,29.94
Otros servicios de bienestar comunitario,1690,23120,2018-05-29,HERMANOS BONA MAÑERU S.L.                                                                 ,,,CENA ALCALDE Y ANGEL ZUBELDIA 17/05  REVISION ALUMBRADO PUBLICO                                                                                                                     ,29.95
Promoción cultural                      ,3340,22799,2018-05-29,HORTZMUGA ANIMACION SL                                                                    ,,,"TEATRO ""LIBERTIA"" 19/05 SARRIGUREN                                                                                                                                                  ",1980
Participación ciudadana.                ,9240,22706,2018-05-29,HUARTE GRAFICA S.A.L.                                                                     ,,,100 CARTELES+5 MUPIS+8000 FLYERS PRESUPUESTOS PARTICIPATIVOS                                                                                                                        ,568.7
Empleo social protegido                 ,2412,16200,2018-05-29,JAUKIKOA                                                                                  ,PASCAL                                  ,ROBERTO                       ,CURSO MOTOSIERRA ESP                                                                                                                                                                ,2024.79
Otros servicios de bienestar comunitario,1690,21900,2018-05-29,JOYFER                                                                                    ,,,202 PLACAS ALUMINIO SERIGRAFIADAS VADO                                                                                                                                              ,-2920.82
Ordenación del tráfico y del estacionami,1330,22199,2018-05-29,JOYFER                                                                                    ,,,1 PLACA PROYECTO ALUMBRADO+2 PLACAS SUSTITUCION CALLES INCORRECTAS                                                                                                                  ,374.7
Ordenación del tráfico y del estacionami,1330,22199,2018-05-29,JOYFER                                                                                    ,,,202 PLACAS ALUMINIO SERIGRAFIADAS VADO                                                                                                                                              ,2920.82
Otros servicios de bienestar comunitario,1690,21900,2018-05-29,JOYFER                                                                                    ,,,202 PLACAS ALUMINIO SERIGRAFIADAS VADO                                                                                                                                              ,2920.82
Empleo social protegido                 ,2412,22104,2018-05-29,"JUPER IRU, S.L.                                                                           ",,,6 TRAJE AGUA+4 BOTAS+12 CALCETINES+18 POLO+7 POLAR+15 PANTALON                                                                                                                      ,1206.3
Escuelas de música                      ,3261,21200,2018-05-29,LARUMBE                                                                                   ,PASCUAL                                 ,ENEKO                         ,CONTRATO MANTENIMIENOT CAMARAS VIDEOVIGILANCIA  HASTA 15 MAYO 2018                                                                                                                  ,37
Otros servicios de bienestar comunitario,1690,21900,2018-05-29,LARUMBE                                                                                   ,PASCUAL                                 ,ENEKO                         ,CONTRATO MANTENIMIENOT CAMARAS VIDEOVIGILANCIA  HASTA 15 MAYO 2018                                                                                                                  ,81.15
Administración General.                 ,9200,21200,2018-05-29,LARUMBE                                                                                   ,PASCUAL                                 ,ENEKO                         ,CONTRATO MANTENIMIENOT CAMARAS VIDEOVIGILANCIA  HASTA 15 MAYO 2018                                                                                                                  ,214.6
Participación ciudadana.                ,9240,22706,2018-05-29,LASPIDEA                                                                                  ,ARNEDO                                  ,RICARDO                       ,DISEÑO+ADAPTACION CARTEL-MUPI-FLYERS PRESUPUESTOS PARTICIPATIVOS                                                                                                                    ,326.7
Administración General.                 ,9200,22300,2018-05-29,"LOARRE MENSAJEROS, S.L.U                                                                  ",,(MRW)                         ,SERVICIO MENSAJERIA ABRIL                                                                                                                                                           ,109.96
Administración General.                 ,9200,22300,2018-05-29,"LOARRE MENSAJEROS, S.L.U                                                                  ",,(MRW)                         ,SERVICIO MENSAJERIA MARZO                                                                                                                                                           ,128.94
Parques y jardines                      ,1710,22199,2018-05-29,MADERAS BAGUA SL                                                                          ,,,30 POSTES DE MADERA (PENDIENTES USO)                                                                                                                                                ,326.7
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-05-29,MARIÑELARENA                                                                              ,IRURZUN                                 ,JOSE RAUL                     ,REPARACION ESCALERAS PIEDRA SUBIDA IGLESIA IBIRICU+LIMPIEZA Y TRATAMIENTO CONSOLIDANTE E HIDROFUGO                                                                                  ,4204.75
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-05-29,MARIÑELARENA                                                                              ,IRURZUN                                 ,JOSE RAUL                     ,COLOCACION MARQUESINA ELCANO-SUBIDA A UBARMIN                                                                                                                                       ,6388.8
Fiestas populares y festejos.           ,3380,22620,2018-05-29,NAVAR PRODUCCIONES                                                                        ,,,HINCHABLES DIA DE LOS CONCEJOS                                                                                                                                                      ,1270.5
Escuelas infantiles                     ,3231,62700,2018-05-29,OTXOTORENA ARQUITECTOS                                                                    ,,,50%REDACCION DEL PROYECTO  DE OBRA DE ESCUELA INFANTIL                                                                                                                              ,14000
Fiestas populares y festejos.           ,3380,22620,2018-05-29,PANADERIA MIRAVALLES S.L.                                                                 ,,,40 BARRAS PAN TXISTORRADA DIA CONCEJOS                                                                                                                                              ,44.01
Parques y jardines                      ,1710,22104,2018-05-29,PODOACTIVA                                                                                ,,,EXPLORACION PIES AITOR MUGICA JARDINES                                                                                                                                              ,25
Parques y jardines                      ,1710,22104,2018-05-29,PODOACTIVA                                                                                ,,,PLANTILLAS PERSONALIZADAS AITOR MUGICA JARDINES                                                                                                                                     ,207
Bibliotecas públicas.                   ,3321,22199,2018-05-29,PROSIN                                                                                    ,,,5 TONERS BIBLIOTECA SARRIGUREN                                                                                                                                                      ,747.3
Parques y jardines                      ,1710,21400,2018-05-29,REVISIONES DE NAVARRA S.A.                                                                ,,,REVISION ITV NISSAN JARDINES                                                                                                                                                        ,33.4
Parques y jardines                      ,1710,21400,2018-05-29,SEAL SL                                                                                   ,,,REPARAR CORTACESPED CAMBIAR FUSIBLE+CAMBIAR CUCHILLA+LAVAR MAQUINA                                                                                                                  ,71.45
Administración General.                 ,9200,21200,2018-05-29,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,DERECHOS ACOMETIDA SANEAMIENTO FECALES BAÑOS AUTOLIMPIABLES LAGO                                                                                                                    ,43.69
Administración General.                 ,9200,22201,2018-05-29,SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA                                               ,,,SERVICIO CORREOS ABRIL (INCLUYE VIALINE)                                                                                                                                            ,4402.27
Policía Local                           ,1321,22199,2018-05-29,SUMUN EQUIPAMIENTOS                                                                       ,,,"40 CINTA BALIZAMIENTO ""POLICIA MUNICIPAL / UDALTZAINGOA""                                                                                                                            ",638.88
Policía Local                           ,1321,22199,2018-05-29,SUMUN EQUIPAMIENTOS                                                                       ,,,19 FUNDAS DE PISTOLA ANTIHURTO                                                                                                                                                      ,1268.13
Fiestas populares y festejos.           ,3380,22620,2018-05-29,SYS AGROSAL                                                                               ,,,RAMO FLORES SAN PEDRO MARTIR IBIRICU                                                                                                                                                ,100.5
Parques y jardines                      ,1710,22199,2018-05-29,SYS AGROSAL                                                                               ,,,45 TAGETE+BULBOS GLADIOLO+30 CAREX+4 SALVIA+PLANTAS HUERTA+6X20L SUBSTRATO+10 PETUNIA+5 KG CESPED                                                                                   ,335.14
Parques y jardines                      ,1710,21400,2018-05-29,TALLERES CLEMENTE S.I.                                                                    ,,,ARREGLO CORTACESPED+CORREA+ARREGLO MOTOAZADA                                                                                                                                        ,202.81
Transporte público.                     ,4411,22730,2018-05-29,TELETAXI SAN FERMIN                                                                       ,,,SERVICIOS TAXI PAMPLONA BADOSTAIN ABRIL                                                                                                                                             ,310
Empleo social protegido                 ,2419,62900,2018-05-29,TEXARTU                                                                                   ,,,BANDERA ROJA BORDADA VALLE DE EGUES GRUPO ROBOTICA                                                                                                                                  ,532.4
Servicio Social de Base                 ,2311,62600,2018-05-29,THE PHONE HOUSE SPAIN SLU                                                                 ,,,1 TELEFONO SERVICIO VIOLENCIA MACHISTA+3 TELEFONO SM+1TF HUAWEI JEFE SM                                                                                                             ,67.76
Otros servicios de bienestar comunitario,1690,62300,2018-05-29,THE PHONE HOUSE SPAIN SLU                                                                 ,,,3 TELEFONOS ALCATEL SM                                                                                                                                                              ,168
Otros servicios de bienestar comunitario,1690,62300,2018-05-29,THE PHONE HOUSE SPAIN SLU                                                                 ,,,1 TELEFONO SERVICIO VIOLENCIA MACHISTA+3 TELEFONO SM+1TF HUAWEI JEFE SM                                                                                                             ,265.24
Escuelas de música                      ,3261,62900,2018-05-29,THOMANN GMBH                                                                              ,,,MOTU DISTRIBUIDOR CANALES PARA GRABACION                                                                                                                                            ,788
Promoción de la igualdad efectiva entre ,2391,22799,2018-05-29,TXUKUNA FLOWERS SLU                                                                       ,,,CENTRO FLORES VIOLENCIA GENERO AYTO+RAMO FLORES HIJO JOSEBA ORDUÑA                                                                                                                  ,50
Administración General.                 ,9200,22601,2018-05-29,TXUKUNA FLOWERS SLU                                                                       ,,,CENTRO FLORES VIOLENCIA GENERO AYTO+RAMO FLORES HIJO JOSEBA ORDUÑA                                                                                                                  ,55
Parques y jardines                      ,1710,21400,2018-05-29,UNZUE E HIJOS S.L.                                                                        ,,,ARREGLO 2 DESBROZADORAS+2 HILO CORTE+1 DIADEMA PROTECCION OIDOS+2 GAFAS PROTECCION+1 CASCO+3 BOBINA                                                                                 ,202.27
Parques y jardines                      ,1710,22104,2018-05-29,UNZUE E HIJOS S.L.                                                                        ,,,ARREGLO 2 DESBROZADORAS+2 HILO CORTE+1 DIADEMA PROTECCION OIDOS+2 GAFAS PROTECCION+1 CASCO+3 BOBINA                                                                                 ,208.26
Parques y jardines                      ,1710,22799,2018-05-29,URBASER SA                                                                                ,,,LABORES DE MANTENIMIENTO ZONAS VERDES ABRIL                                                                                                                                         ,13954.74
Escuelas infantiles                     ,3231,62700,2018-05-29,WARQS OFICINA ARQUITECTURA SLD                                                            ,,,50% REDACCION DEL PROYECTO  DE OBRA DE ESCUELA INFANTIL                                                                                                                             ,14000
Administración General.                 ,9200,23120,2018-05-30,APARCAMIENTO SAN ROQUE SL                                                                 ,,,,1.85
Administración General.                 ,9200,22106,2018-05-30,FERNANDEZ                                                                                 ,EJEA                                    ,MARTA                         ,"VOLTADOL, SILVEDERMA, TERMALGIN PRODUCTOS FARMACIA AREA JARDINES                                                                                                                    ",17.77
Administración General.                 ,9200,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,23.82
Parques y jardines                      ,1710,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA ABRIL                                                                                                                                                                    ,36.81
Parques y jardines                      ,1710,21900,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,CUOTA POR VERTIDO LODOS LIMPIEZA FOSA SEPTICA HUERTAS                                                                                                                               ,46.75
Parques y jardines                      ,1710,21900,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,CUOTA POR VERTIDO LODOS LIMPIEZA FOSA SEPTICA HUERTAS                                                                                                                               ,46.75
Desarrollo empresarial.                 ,4330,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,72.38
Consultorios y centros de salud         ,3121,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA ABRIL                                                                                                                                                                    ,106.49
Administración General.                 ,9200,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA ABRIL                                                                                                                                                                    ,108.93
Otros servicios comunitarios y sociales ,2399,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA ABRIL                                                                                                                                                                    ,136.66
Bibliotecas públicas.                   ,3321,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,139.17
Escuelas infantiles                     ,3231,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,239.82
Escuelas infantiles                     ,3231,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA ABRIL                                                                                                                                                                    ,322.5
Administración General.                 ,9200,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,343.65
Parques y jardines                      ,1710,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,347.86
Escuelas de música                      ,3261,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,452.84
Otros servicios de bienestar comunitario,1690,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,573.2
Promoción y fomento del deporte.        ,3410,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,779.71
Parques y jardines                      ,1710,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA ABRIL                                                                                                                                                                    ,792.6
Funcionamiento de centros docentes de en,3232,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA ABRIL                                                                                                                                                                    ,1044.8
Parques y jardines                      ,1710,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 1º CUATRIMESTRE                                                                                                                                                          ,1612.06
Parques y jardines                      ,1710,22101,2018-06-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,ALTAS AGUA MAYO                                                                                                                                                                     ,3310.6
Funcionamiento de centros docentes de en,3232,22200,2018-06-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO JUNIO                                                                                                                                                           ,353.93
Promoción de la igualdad efectiva entre ,2391,22799,2018-06-04,"MARKAJE 2040, S.L.                                                                        ",,,4 CAMISETAS FIESTAS PERSONAL PROGRAMA JOVEN VIOLENCIA GENERO                                                                                                                        ,52.01
Otros servicios de bienestar comunitario,1690,22103,2018-06-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,4 TICKETS GASTO COMBUSTIBLE MAYO SM                                                                                                                                                 ,170.23
Parques y jardines                      ,1710,22103,2018-06-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,13 TICKETS GASTO COMBUSTIBLE MAYO JARDINES                                                                                                                                          ,498.96
Policía Local                           ,1321,22103,2018-06-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,14 TICKETS GASTO COMBUSTIBLE MAYO PM                                                                                                                                                ,606.57
Fiestas populares y festejos.           ,3380,22620,2018-06-05,H1PERNUMBER ONE                                                                           ,,,INTAS BANDAS INFANTILES Y GORRO ALCALDESA FIESTAS SARRIGUREN                                                                                                                        ,13.53
Otros servicios de bienestar comunitario,1690,22100,2018-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,114.12
Desarrollo empresarial.                 ,4330,22100,2018-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,239.69
Consultorios y centros de salud         ,3121,22100,2018-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,335.33
Escuelas de música                      ,3261,22100,2018-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,440.57
Otros servicios comunitarios y sociales ,2399,22100,2018-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,832.46
Escuelas infantiles                     ,3231,22100,2018-06-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ MAYO                                                                                                                                                                      ,884.32
